ID,0,1,2,3,4,5,6,7
launch__uses_green_context,0,0,0,0,0,0,0,0
launch__uses_vgpu,0,0,0,0,0,0,0,0
launch__waves_per_multiprocessor,1.93,3.37,6.74,3.37,0.15,0,0.52,0
numa__cpu_affinity,1,1,1,1,1,1,1,1
numa__dev_display_name_all,1,1,1,1,1,1,1,1
numa__id_cpu,1,1,1,1,1,1,1,1
numa__id_memory,1,1,1,1,1,1,1,1
nvlink__bandwidth,0,0,0,0,0,0,0,0
nvlink__count_logical,0,0,0,0,0,0,0,0
nvlink__count_physical,0,0,0,0,0,0,0,0
nvlink__destination_ports,0,0,0,0,0,0,0,0
nvlink__dev0Id,0,0,0,0,0,0,0,0
nvlink__dev0type,0,0,0,0,0,0,0,0
nvlink__dev1Id,0,0,0,0,0,0,0,0
nvlink__dev1type,0,0,0,0,0,0,0,0
nvlink__dev_display_name_all,1,1,1,1,1,1,1,1
nvlink__enabled_mask,0,0,0,0,0,0,0,0
nvlink__is_direct_link,0,0,0,0,0,0,0,0
nvlink__is_nvswitch_connected,0,0,0,0,0,0,0,0
nvlink__max_count,12,12,12,12,12,12,12,12
nvlink__peer_access,0,0,0,0,0,0,0,0
nvlink__peer_atomic,0,0,0,0,0,0,0,0
nvlink__source_ports,0,0,0,0,0,0,0,0
nvlink__system_access,0,0,0,0,0,0,0,0
nvlink__system_atomic,0,0,0,0,0,0,0,0
profiler__perfworks_session_reuse,0,0,0,0,0,0,0,0
profiler__replayer_bytes_mem_accessible.avg [Gbyte],16.59,16.59,16.59,16.59,33.60,33.60,33.60,33.60
profiler__replayer_bytes_mem_accessible.max [Gbyte],16.59,16.59,16.59,16.59,33.60,33.60,33.60,33.60
profiler__replayer_bytes_mem_accessible.min [Gbyte],16.59,16.59,16.59,16.59,33.60,33.60,33.60,33.60
profiler__replayer_bytes_mem_accessible.sum [Gbyte],99.55,99.55,99.55,99.55,201.57,201.57,201.57,201.57
profiler__replayer_bytes_mem_backed_up.avg [Gbyte],16.59,16.59,16.59,16.59,33.60,33.60,33.60,33.60
profiler__replayer_bytes_mem_backed_up.max [Gbyte],16.59,16.59,16.59,16.59,33.60,33.60,33.60,33.60
profiler__replayer_bytes_mem_backed_up.min [Gbyte],16.59,16.59,16.59,16.59,33.60,33.60,33.60,33.60
profiler__replayer_bytes_mem_backed_up.sum [Gbyte],99.55,99.55,99.55,99.55,201.57,201.57,201.57,201.57
profiler__replayer_passes [pass],6,6,6,6,6,6,6,6
profiler__replayer_passes_type_warmup [pass],0,0,0,0,0,0,0,0
sm__maximum_warps_avg_per_active_cycle [warp],64,8,64,8,64,0,64,0
sm__maximum_warps_per_active_cycle_pct [%],100,12.50,100,12.50,100,0,100,0
sm__throughput.avg.pct_of_peak_sustained_active [%],71.48,90.53,77.32,89.45,19.76,85.35,47.01,83.90
sm__throughput.max.pct_of_peak_sustained_active [%],74.22,107.44,81.00,106.16,25.01,164.61,51.13,161.81
sm__throughput.min.pct_of_peak_sustained_active [%],69.56,80.58,72.42,79.62,16.68,0,45.13,0
sm__throughput.sum.pct_of_peak_sustained_active [%],71.48,90.53,77.32,89.45,19.76,85.35,47.01,83.90
smsp__maximum_warps_avg_per_active_cycle [warp],16,2,16,2,16,1,16,1
